coordY,coordX,tagid,instr,cycle,IPC
0,0,1,19376,46367,0.4179
0,0,2,19376,52267,0.3707
0,0,kernel,38896,100620,0.3866
coordY,coordX,tagid,Miss Type,miss,total,hit rate
0,0,1,miss_icache,141,19376,0.99
0,0,1,miss_beq,8,8,0.00
0,0,1,miss_bne,386,1160,0.67
0,0,1,miss_blt,192,1348,0.86
0,0,1,miss_bge,72,456,0.84
0,0,1,miss_bltu,0,0,1.00
0,0,1,miss_bgeu,0,0,1.00
0,0,1,miss_jalr,130,130,0.00
0,0,1,miss_total,929,19376,0.95
0,0,2,miss_icache,359,19376,0.98
0,0,2,miss_beq,8,8,0.00
0,0,2,miss_bne,386,1160,0.67
0,0,2,miss_blt,192,1348,0.86
0,0,2,miss_bge,72,456,0.84
0,0,2,miss_bltu,0,0,1.00
0,0,2,miss_bgeu,0,0,1.00
0,0,2,miss_jalr,130,130,0.00
0,0,2,miss_total,1147,19376,0.94
0,0,kernel,miss_icache,598,38896,0.98
0,0,kernel,miss_beq,16,16,0.00
0,0,kernel,miss_bne,774,2324,0.67
0,0,kernel,miss_blt,384,2696,0.86
0,0,kernel,miss_bge,144,912,0.84
0,0,kernel,miss_bltu,0,0,1.00
0,0,kernel,miss_bgeu,0,0,1.00
0,0,kernel,miss_jalr,260,260,0.00
0,0,kernel,miss_total,2176,38896,0.94
coordY,coordX,tagid,Stall Type,Cycles,% of Stall Cycles,% of Total Cycles
0,0,1,stall_fp_remote_load,0,0.00,0.00
0,0,1,stall_fp_local_load,0,0.00,0.00
0,0,1,stall_depend,22471,90.92,48.46
0,0,1,stall_depend_remote_load_dram,22457,90.87,48.43
0,0,1,stall_depend_remote_load_global,0,0.00,0.00
0,0,1,stall_depend_remote_load_group,0,0.00,0.00
0,0,1,stall_depend_local_load,8606,34.82,18.56
0,0,1,stall_force_wb,0,0.00,0.00
0,0,1,stall_ifetch_wait,2169,8.78,4.68
0,0,1,stall_icache_store,0,0.00,0.00
0,0,1,stall_lr_aq,0,0.00,0.00
0,0,1,stall_md,74,0.30,0.16
0,0,1,stall_remote_req,0,0.00,0.00
0,0,1,stall_local_flw,0,0.00,0.00
0,0,1,stall_amo_aq,0,0.00,0.00
0,0,1,stall_amo_rl,0,0.00,0.00
0,0,1,stall_total,24714,100.00,53.30
0,0,2,stall_fp_remote_load,0,0.00,0.00
0,0,2,stall_fp_local_load,0,0.00,0.00
0,0,2,stall_depend,23939,81.08,45.80
0,0,2,stall_depend_remote_load_dram,23933,81.06,45.79
0,0,2,stall_depend_remote_load_global,0,0.00,0.00
0,0,2,stall_depend_remote_load_group,0,0.00,0.00
0,0,2,stall_depend_local_load,15133,51.26,28.95
0,0,2,stall_force_wb,0,0.00,0.00
0,0,2,stall_ifetch_wait,5511,18.67,10.54
0,0,2,stall_icache_store,0,0.00,0.00
0,0,2,stall_lr_aq,0,0.00,0.00
0,0,2,stall_md,74,0.25,0.14
0,0,2,stall_remote_req,0,0.00,0.00
0,0,2,stall_local_flw,0,0.00,0.00
0,0,2,stall_amo_aq,0,0.00,0.00
0,0,2,stall_amo_rl,0,0.00,0.00
0,0,2,stall_total,29524,100.00,56.49
0,0,kernel,stall_fp_remote_load,0,0.00,0.00
0,0,kernel,stall_fp_local_load,0,0.00,0.00
0,0,kernel,stall_depend,46410,83.49,46.12
0,0,kernel,stall_depend_remote_load_dram,46390,83.46,46.10
0,0,kernel,stall_depend_remote_load_global,0,0.00,0.00
0,0,kernel,stall_depend_remote_load_group,0,0.00,0.00
0,0,kernel,stall_depend_local_load,23739,42.71,23.59
0,0,kernel,stall_force_wb,0,0.00,0.00
0,0,kernel,stall_ifetch_wait,9028,16.24,8.97
0,0,kernel,stall_icache_store,0,0.00,0.00
0,0,kernel,stall_lr_aq,0,0.00,0.00
0,0,kernel,stall_md,148,0.27,0.15
0,0,kernel,stall_remote_req,0,0.00,0.00
0,0,kernel,stall_local_flw,0,0.00,0.00
0,0,kernel,stall_amo_aq,0,0.00,0.00
0,0,kernel,stall_amo_rl,0,0.00,0.00
0,0,kernel,stall_total,55586,100.00,55.24
coordY,coordX,tagid,Bubble Type,Cycles,% of Bubbles,% of Total Cycles
0,0,1,bubble_icache,564,26.36,1.22
0,0,1,bubble_branch_mispredict,1316,61.50,2.84
0,0,1,bubble_jalr_mispredict,260,12.15,0.56
0,0,1,bubble_total,2140,100.00,4.62
0,0,2,bubble_icache,1436,47.68,2.75
0,0,2,bubble_branch_mispredict,1316,43.69,2.52
0,0,2,bubble_jalr_mispredict,260,8.63,0.50
0,0,2,bubble_total,3012,100.00,5.76
0,0,kernel,bubble_icache,2392,43.11,2.38
